territory,offset,cfr
Poland,16,0.04609
Poland,17,0.04961
Poland,18,0.05502
Poland,19,0.05841
Poland,20,0.06020
Poland,21,0.06189
Poland,22,0.06607
Poland,23,0.07087
Poland,24,0.07760
Poland,25,0.08371
Poland,26,0.09471
Poland,27,0.09645
Poland,28,0.10196
Poland,29,0.11136
Poland,30,0.12397
Poland,31,0.13205
Poland,32,0.14395
Poland,33,0.14950
Poland,34,0.15383
Poland,35,0.16192
Ukraine,0,0.01797
Ukraine,1,0.01823
Ukraine,2,0.01839
Ukraine,3,0.01852
Ukraine,4,0.01920
Ukraine,5,0.01925
Ukraine,6,0.01980
Ukraine,7,0.01939
Ukraine,8,0.01924
Ukraine,9,0.02020
Ukraine,10,0.02015
Ukraine,11,0.02015
Ukraine,12,0.02227
Ukraine,13,0.02240
Ukraine,14,0.02252
Ukraine,15,0.02239
Ukraine,16,0.02359
Ukraine,17,0.02375
Ukraine,18,0.02422
Ukraine,19,0.02498
Ukraine,20,0.02642
Ukraine,21,0.02751
Ukraine,22,0.02677
Ukraine,23,0.02774
Ukraine,24,0.02854
Ukraine,25,0.02918
Ukraine,26,0.03107
Ukraine,27,0.03128
Ukraine,28,0.03239
Ukraine,29,0.03359
Ukraine,30,0.03420
Ukraine,31,0.03556
Ukraine,32,0.03665
Ukraine,33,0.03687
Ukraine,34,0.03718
Ukraine,35,0.03873
Belarus,0,0.02310
Belarus,1,0.02327
Belarus,2,0.02327
Belarus,3,0.02343
Belarus,4,0.02343
Belarus,5,0.02392
Belarus,6,0.02392
Belarus,7,0.02392
Belarus,8,0.02409
Belarus,9,0.02425
Belarus,10,0.02425
Belarus,11,0.02409
Belarus,12,0.02310
Belarus,13,0.02392
Belarus,14,0.02376
Belarus,15,0.02376
Belarus,16,0.02359
Belarus,17,0.02376
Belarus,18,0.02425
Belarus,19,0.02376
Belarus,20,0.02441
Belarus,21,0.02425
Belarus,22,0.02392
Belarus,23,0.02376
Belarus,24,0.02343
Belarus,25,0.02261
Belarus,26,0.02359
Belarus,27,0.02343
Belarus,28,0.02343
Belarus,29,0.02310
Belarus,30,0.02294
Belarus,31,0.02261
Belarus,32,0.02228
Belarus,33,0.02196
Belarus,34,0.02163
Belarus,35,0.02130
Slovenia,0,0.00320
Slovenia,1,0.00400
Slovenia,2,0.00400
Slovenia,3,0.00360
Slovenia,4,0.00440
Slovenia,5,0.00400
Slovenia,6,0.00400
Slovenia,7,0.00400
Slovenia,8,0.00440
Slovenia,9,0.00400
Slovenia,10,0.00400
Slovenia,11,0.00400
Slovenia,12,0.00400
Slovenia,13,0.00440
Slovenia,14,0.00520
Slovenia,15,0.00639
Slovenia,16,0.00679
Slovenia,17,0.00879
Slovenia,18,0.00799
Slovenia,19,0.00799
Slovenia,20,0.01119
Slovenia,21,0.01239
Slovenia,22,0.01319
Slovenia,23,0.01359
Slovenia,24,0.01559
Slovenia,25,0.01759
Slovenia,26,0.01878
Slovenia,27,0.02078
Slovenia,28,0.02238
Slovenia,29,0.02678
Slovenia,30,0.03078
Slovenia,31,0.03477
Slovenia,32,0.03637
Slovenia,33,0.03837
Slovenia,34,0.04436
Slovenia,35,0.05675
Bosnia and Herzegovina,0,0.03029
Bosnia and Herzegovina,1,0.03071
Bosnia and Herzegovina,2,0.03157
Bosnia and Herzegovina,3,0.03100
Bosnia and Herzegovina,4,0.03057
Bosnia and Herzegovina,5,0.03199
Bosnia and Herzegovina,6,0.03299
Bosnia and Herzegovina,7,0.03185
Bosnia and Herzegovina,8,0.03327
Bosnia and Herzegovina,9,0.03313
Bosnia and Herzegovina,10,0.03313
Bosnia and Herzegovina,11,0.03313
Bosnia and Herzegovina,12,0.03327
Bosnia and Herzegovina,13,0.03299
Bosnia and Herzegovina,14,0.03299
Bosnia and Herzegovina,15,0.03199
Bosnia and Herzegovina,16,0.03213
Bosnia and Herzegovina,17,0.03256
Bosnia and Herzegovina,18,0.03299
Bosnia and Herzegovina,19,0.03242
Bosnia and Herzegovina,20,0.03228
Bosnia and Herzegovina,21,0.03327
Bosnia and Herzegovina,22,0.03398
Bosnia and Herzegovina,23,0.03427
Bosnia and Herzegovina,24,0.03540
Bosnia and Herzegovina,25,0.03654
Bosnia and Herzegovina,26,0.03953
Bosnia and Herzegovina,27,0.04180
Bosnia and Herzegovina,28,0.04308
Bosnia and Herzegovina,29,0.04621
Bosnia and Herzegovina,30,0.04735
Bosnia and Herzegovina,31,0.05090
Bosnia and Herzegovina,32,0.05403
Bosnia and Herzegovina,33,0.05460
Bosnia and Herzegovina,34,0.05815
Bosnia and Herzegovina,35,0.06100
Serbia,0,0.01743
Serbia,1,0.01693
Serbia,2,0.01643
Serbia,3,0.01594
Serbia,4,0.01494
Serbia,5,0.01494
Serbia,6,0.01494
Serbia,7,0.01444
Serbia,8,0.01494
Serbia,9,0.01494
Serbia,10,0.01544
Serbia,11,0.01544
Serbia,12,0.01544
Serbia,13,0.01494
Serbia,14,0.01594
Serbia,15,0.01594
Serbia,16,0.01594
Serbia,17,0.01594
Serbia,18,0.01643
Serbia,19,0.01693
Serbia,20,0.01743
Serbia,21,0.01743
Serbia,22,0.01843
Serbia,23,0.01793
Serbia,24,0.01892
Serbia,25,0.01992
Serbia,26,0.02291
Serbia,27,0.02291
Serbia,28,0.02490
Serbia,29,0.02689
Serbia,30,0.02988
Serbia,31,0.03187
Serbia,32,0.03436
Serbia,33,0.03635
Serbia,34,0.03934
Serbia,35,0.04482
Hungary,0,0.00731
Hungary,1,0.00767
Hungary,2,0.00834
Hungary,3,0.00916
Hungary,4,0.00983
Hungary,5,0.01019
Hungary,6,0.01076
Hungary,7,0.01174
Hungary,8,0.01292
Hungary,9,0.01390
Hungary,10,0.01457
Hungary,11,0.01554
Hungary,12,0.01652
Hungary,13,0.01704
Hungary,14,0.01822
Hungary,15,0.01899
Hungary,16,0.02002
Hungary,17,0.02141
Hungary,18,0.02234
Hungary,19,0.02363
Hungary,20,0.02507
Hungary,21,0.02661
Hungary,22,0.02867
Hungary,23,0.03068
Hungary,24,0.03263
Hungary,25,0.03397
Hungary,26,0.03788
Hungary,27,0.04046
Hungary,28,0.04226
Hungary,29,0.04473
Hungary,30,0.04725
Hungary,31,0.04900
Hungary,32,0.05183
Hungary,33,0.05492
Hungary,34,0.05868
Hungary,35,0.06228
Albania,0,0.02476
Albania,1,0.02424
Albania,2,0.02347
Albania,3,0.02243
Albania,4,0.02140
Albania,5,0.02063
Albania,6,0.02063
Albania,7,0.02089
Albania,8,0.02114
Albania,9,0.02192
Albania,10,0.02243
Albania,11,0.02218
Albania,12,0.02218
Albania,13,0.02218
Albania,14,0.02218
Albania,15,0.02295
Albania,16,0.02347
Albania,17,0.02347
Albania,18,0.02321
Albania,19,0.02321
Albania,20,0.02295
Albania,21,0.02321
Albania,22,0.02347
Albania,23,0.02372
Albania,24,0.02450
Albania,25,0.02476
Albania,26,0.02630
Albania,27,0.02656
Albania,28,0.02759
Albania,29,0.02811
Albania,30,0.02888
Albania,31,0.02940
Albania,32,0.03094
Albania,33,0.03249
Albania,34,0.03378
Albania,35,0.03404
Romania,0,0.03096
Romania,1,0.03052
Romania,2,0.03033
Romania,3,0.03013
Romania,4,0.03030
Romania,5,0.03013
Romania,6,0.02895
Romania,7,0.03082
Romania,8,0.03170
Romania,9,0.03255
Romania,10,0.03247
Romania,11,0.03294
Romania,12,0.03381
Romania,13,0.03428
Romania,14,0.03522
Romania,15,0.03568
Romania,16,0.03615
Romania,17,0.03741
Romania,18,0.03816
Romania,19,0.03873
Romania,20,0.03947
Romania,21,0.04046
Romania,22,0.04101
Romania,23,0.04162
Romania,24,0.04318
Romania,25,0.04428
Romania,26,0.04681
Romania,27,0.04813
Romania,28,0.05016
Romania,29,0.05189
Romania,30,0.05326
Romania,31,0.05508
Romania,32,0.05639
Romania,33,0.05824
Romania,34,0.06060
Romania,35,0.06112
Bulgaria,0,0.04444
Bulgaria,1,0.04619
Bulgaria,2,0.04569
Bulgaria,3,0.04594
Bulgaria,4,0.04494
Bulgaria,5,0.04395
Bulgaria,6,0.04320
Bulgaria,7,0.04419
Bulgaria,8,0.04245
Bulgaria,9,0.04270
Bulgaria,10,0.04345
Bulgaria,11,0.04345
Bulgaria,12,0.04245
Bulgaria,13,0.04295
Bulgaria,14,0.04619
Bulgaria,15,0.04669
Bulgaria,16,0.04619
Bulgaria,17,0.04994
Bulgaria,18,0.05119
Bulgaria,19,0.05318
Bulgaria,20,0.05618
Bulgaria,21,0.06067
Bulgaria,22,0.06292
Bulgaria,23,0.06717
Bulgaria,24,0.06966
Bulgaria,25,0.07191
Bulgaria,26,0.07615
Bulgaria,27,0.08489
Bulgaria,28,0.08839
Bulgaria,29,0.09563
Bulgaria,30,0.09988
Bulgaria,31,0.10537
Bulgaria,32,0.11011
Bulgaria,33,0.11411
Bulgaria,34,0.12609
Bulgaria,35,0.13933
Greece,0,0.01583
Greece,1,0.01583
Greece,2,0.01597
Greece,3,0.01556
Greece,4,0.01610
Greece,5,0.01691
Greece,6,0.01691
Greece,7,0.01732
Greece,8,0.01759
Greece,9,0.01773
Greece,10,0.01800
Greece,11,0.01773
Greece,12,0.01813
Greece,13,0.01949
Greece,14,0.01976
Greece,15,0.02016
Greece,16,0.02070
Greece,17,0.02124
Greece,18,0.02206
Greece,19,0.02287
Greece,20,0.02314
Greece,21,0.02382
Greece,22,0.02382
Greece,23,0.02395
Greece,24,0.02476
Greece,25,0.02571
Greece,26,0.02679
Greece,27,0.02733
Greece,28,0.02842
Greece,29,0.02909
Greece,30,0.03031
Greece,31,0.03072
Greece,32,0.03085
Greece,33,0.03112
Greece,34,0.03153
Greece,35,0.03221
Slovakia,0,0.00203
Slovakia,1,0.00221
Slovakia,2,0.00276
Slovakia,3,0.00203
Slovakia,4,0.00313
Slovakia,5,0.00313
Slovakia,6,0.00332
Slovakia,7,0.00332
Slovakia,8,0.00332
Slovakia,9,0.00332
Slovakia,10,0.00369
Slovakia,11,0.00369
Slovakia,12,0.00424
Slovakia,13,0.00424
Slovakia,14,0.00424
Slovakia,15,0.00424
Slovakia,16,0.00516
Slovakia,17,0.00590
Slovakia,18,0.00590
Slovakia,19,0.00792
Slovakia,20,0.00903
Slovakia,21,0.00977
Slovakia,22,0.01069
Slovakia,23,0.01050
Slovakia,24,0.01364
Slovakia,25,0.01714
Slovakia,26,0.02119
Slovakia,27,0.02230
Slovakia,28,0.02433
Slovakia,29,0.02562
Slovakia,30,0.02801
Slovakia,31,0.03022
Slovakia,32,0.03041
Slovakia,33,0.03041
Slovakia,34,0.03022
Slovakia,35,0.03317
Czech Republic,0,0.00470
Czech Republic,1,0.00511
Czech Republic,2,0.00557
Czech Republic,3,0.00611
Czech Republic,4,0.00654
Czech Republic,5,0.00679
Czech Republic,6,0.00705
Czech Republic,7,0.00778
Czech Republic,8,0.00855
Czech Republic,9,0.00933
Czech Republic,10,0.01020
Czech Republic,11,0.01103
Czech Republic,12,0.01313
Czech Republic,13,0.01401
Czech Republic,14,0.01420
Czech Republic,15,0.01527
Czech Republic,16,0.01672
Czech Republic,17,0.01796
Czech Republic,18,0.01910
Czech Republic,19,0.02067
Czech Republic,20,0.02227
Czech Republic,21,0.02402
Czech Republic,22,0.02637
Czech Republic,23,0.02869
Czech Republic,24,0.03097
Czech Republic,25,0.03368
Czech Republic,26,0.03902
Czech Republic,27,0.04263
Czech Republic,28,0.04675
Czech Republic,29,0.04941
Czech Republic,30,0.05348
Czech Republic,31,0.05816
Czech Republic,32,0.06184
Czech Republic,33,0.06587
Czech Republic,34,0.07093
Czech Republic,35,0.07646
Macedonia,0,0.03858
Macedonia,1,0.04007
Macedonia,2,0.04037
Macedonia,3,0.04097
Macedonia,4,0.04276
Macedonia,5,0.04396
Macedonia,6,0.04396
Macedonia,7,0.04276
Macedonia,8,0.04336
Macedonia,9,0.04217
Macedonia,10,0.04217
Macedonia,11,0.04306
Macedonia,12,0.04276
Macedonia,13,0.04366
Macedonia,14,0.04456
Macedonia,15,0.04157
Macedonia,16,0.04217
Macedonia,17,0.04187
Macedonia,18,0.04127
Macedonia,19,0.04037
Macedonia,20,0.04217
Macedonia,21,0.04366
Macedonia,22,0.04336
Macedonia,23,0.04545
Macedonia,24,0.04844
Macedonia,25,0.04844
Macedonia,26,0.05891
Macedonia,27,0.06220
Macedonia,28,0.06100
Macedonia,29,0.06758
Macedonia,30,0.07117
Macedonia,31,0.07147
Macedonia,32,0.07327
Macedonia,33,0.07506
Macedonia,34,0.08134
Macedonia,35,0.08642
Montenegro,0,0.01124
Montenegro,1,0.01106
Montenegro,2,0.01159
Montenegro,3,0.01177
Montenegro,4,0.01177
Montenegro,5,0.01195
Montenegro,6,0.01267
Montenegro,7,0.01302
Montenegro,8,0.01356
Montenegro,9,0.01356
Montenegro,10,0.01374
Montenegro,11,0.01409
Montenegro,12,0.01427
Montenegro,13,0.01463
Montenegro,14,0.01605
Montenegro,15,0.01605
Montenegro,16,0.01623
