zemlja,country,before,now
Albanija,Albania,1,38
Austrija,Austria,79,655
Belgija,Belgium,169,689
Bosna i Hercegovina,Bosnia and Herzegovina,3,18
Brazil,Brazil,13,151
Danska,Denmark,23,827
Finska,Finland,15,225
Francuska,France,949,4469
Grčka,Greece,46,228
Hrvatska,Croatia,12,38
Iran,Iran,5823,12729
Italija,Italy,5883,21157
Japan,Japan,461,773
Južna Koreja,South Korea,7041,8086
Kina,China,67666,67790
Mađarska,Hungary,4,30
Nizozemska,Netherlands,188,959
Njemačka,Germany,799,4585
Norveška,Norway,147,1090
Poljska,Poland,5,103
Rusija,Russia,13,59
Singapur,Singapore,138,212
Slovačka,Slovakia,1,44
Slovenija,Slovenia,7,181
Srbija,Serbia,1,46
Češka,Czechia,19,189
Španjolska,Spain,500,6391
Švedska,Sweden,161,961
Švicarska,Switzerland,268,1359
