label,desc,size
Twingo,kapacitet Renaulta Twingo,4
razred,prosječan razred u Hrvatskoj,20
bus,veliki gradski autobus,100
HNK,gledalište HNK Zagreb,715
Cibona,dvorana Dražen Petrović u Zagrebu,5400
Poljud,pun stadion u Poljudu,35100
Split,populacija grada Splita,178000
Zagreb,populacija grada Zagreba,800000
