gn,gender
ELIOT,M
ELISA,F
ELISABETTA,F
ELIZABETA,F
ELIZABETH,F
ELIZAVETA,F
ELLA,F
ELLEN,F
ELLI,F
ELMA,F
ELVIN,M
ELVIRA,F
ELVIS,M
EMA,F
EMANUEL,M
EMANUELA,F
EMANUELLA,F
EMERIK,M
EMI,F
EMIL,M
EMILI,F
EMILIA,F
EMILIJA,F
EMIN,M
EMMA,F
ENA,F
ENEA,F
ENI,F
ENIA,F
ENIO,M
ENNIO,M
ENO,M
ENRIK,M
ENSAR,M
ENTONI,M
ENYA,F
ENZO,M
ERIC,M
ERIK,M
ERIKA,F
ERIN,F
ERMIN,M
ERNA,F
ERNEST,M
ERNITA,F
EROL,M
ERVIN,M
ESTERA,F
ESTHER,F
ETIEN,M
EUGEN,M
EVA,F
EVELIN,F
FABIAN,M
FABIJAN,M
FABIO,M
FABJAN,M
FANI,F
FELIX,M
FEĐA,M
FILIP,M
FILIPA,F
FLILP,M
FLORIAN,M
FLORIJAN,M
FRAN,M
FRANCESCA,F
FRANCISKA,F
FRANCO,M
FRANE,M
FRANJO,M
FRANKA,F
FRANKO,M
FRANO,M
FRANČESKA,F
FRIDA,F
FUMA,F
GABI,F
GABRIEL,M
GABRIELA,F
GABRIJEL,M
GABRIJELA,F
GAIA,F
GAJ,M
GARBARA,F
GAŠPAR,M
GEA,F
GIANLUCA,M
GIOVANNI,M
GITA,F
GIULIA,F
GLORIA,F
GLORIJA,F
GORAN,M
GORANA,F
GORDAN,M
GORDANA,F
GRACIJA,F
GREGOR,M
GRETA,F
GRGA,M
GRGO,M
GRGUR,M
GRIGOR,M
GRUGUR,M
GUSTAV,M
GUŠTE,M
HAJDI,F
HAMIDE,F
HANA,F
HANAN,M
HANNA,F
HANNAH,F
HARI,M
HARIS,M
HEIDI,F
HELEN,F
HELENA,F
HERMAN,M
HERMINA,F
HRVOJE,M
IAN,M
IDA,F
IDORA,F
IGNAC,M
IGNACIJA,F
IGOR,M
IKA,F
ILAN,M
ILIJA,M
ILIJANA,F
ILMA,F
ILONA,F
ILONKA,F
ILVANA,F
IMAN,M
IMRAN,M
INA,F
INDI,F
INDIA,F
INES,F
INGA,F
INGO,M
INJA,F
INKRET,M
INO,M
INOSLAV,M
IRA,F
IRENA,F
IRINA,F
IRIS,F
IRJA,F
IRMA,F
ISA,F
ISABEL,F
ISABELA,F
ISABELL,F
ISABELLA,F
ISABELLE,F
ISAURA,F
ISKRA,F
ITA,F
IV,M
IVA,F
IVAN,M
IVANA,F
IVANKA,F
IVANO,M
IVE,M
IVICA,M
IVKA,F
IVNA,F
IVO,M
IVON,M
IVONA,F
IVONE,F
IVOR,M
IVUŠA,F
IZABELA,F
IZAK,M
IZIDOR,M
IZIDORA,F
IZVOR,M
JACOB,M
JADRAN,M
JADRANKA,F
JAGA,F
JAGOR,M
JAKOB,M
JAKOV,M
JAKŠA,M
JAN,M
JANA,F
JANI,F
JANICA,F
JANJA,F
JANKO,M
JASEN,M
JASMIN,M
JASMINA,F
JASMINKA,F
JASNA,F
JELE,F
JELENA,F
JELKA,F
JENDEK,M
JERE,M
JERKO,M
JERONIM,M
JESSICA,F
JOEL,M
JONATHAN,M
JORDAN,M
JOSHUA,M
JOSIP,M
JOSIPA,F
JOSKO,M
JOSO,M
JOVANA,F
JOZO,M
JOŠKA,F
JOŠKO,M
JOŠUA,M
JUDITA,F
JULIA,F
JULIAN,M
JULIANNA,F
JULIEN,M
JULIJA,F
JULIJAN,M
JULIJANA,F
JULIJANO,M
JULIO,M
JULLIAN,M
JURA,M
JURAJ,M
JURE,M
JURICA,M
JURIJ,M
JURJA,F
JURO,M
JUSTIN,M
KAJA,F
KAJAN,M
KAL,M
KALA,F
KALEA,F
KARIN,F
KARLA,F
KARLO,M
KARMELA,F
KARMELO,M
KARMEN,F
KAROLINA,F
KASANDRA,F
KASPER,M
KATA,F
KATARINA,F
KATE,F
KATIA,F
KATICA,F
KATIJA,F
KATJA,F
KATRIN,F
KAZIMIR,M
KEJ,M
KENAN,M
KEVIN,M
KIAN,M
KIARA,F
KIM,F
KIMI,F
KIRA,F
KISTIAN,M
KLARA,F
KLARISA,F
KLAUDIA,F
KLAUDIJA,F
KLAUDIO,M
KLEA,F
KLEMENT,M
KLUDIJA,F
KOLINDA,F
KONI,F
KONRAD,M
KONSTATINA,F
KORA,F
KORANA,F
KORINA,F
KORNELIA,F
KORNELIJA,F
KREŠIMIR,M
KREŠO,M
KRIS,M
KRISTA,F
KRISTIAN,M
KRISTIJAN,M
KRISTIJANO,M
KRISTINA,F
KRISTJAN,M
KRIŽAN,M
KRSTO,M
KRUNO,M
KRUNOSLAV,M
KRŠEVAN,M
KSENIJA,F
KUZMA,M
KYARA,F
LACI,M
LAMIJA,F
LANA,F
LARA,F
LARISA,F
LARS,M
LASTA,F
LATICA,F
LAURA,F
LAV,M
LAVOSLAV,M
LEA,F
LEAMARIA,F
LEDA,F
LEGOLAS,M
LEJLA,F
LENA,F
LENARD,M
LEO,M
LEON,M
LEONA,F
LEONARD,M
LEONARDA,F
LEONARDO,M
LEONORA,F
LEOPOLD,M
LETICIA,F
LETICIJA,F
LETITIA,F
LIAM,M
LIBOR,M
LIDIA,F
LIDIJA,F
LILI,F
LILIAN,F
LINA,F
LINDA,F
LINO,M
LIRA,F
LIRIJANA,F
LISA,F
LIVIO,M
LIZA,F
LJERKA,F
LJILJANA,F
LJUBA,F
LJUBICA,F
LJUBO,M
LJUDEVIT,M
LOBEL,M
LOLA,F
LONA,F
LORA,F
LORDAN,M
LOREDANA,F
LOREDANO,M
LORELAI,F
LOREN,F
LORENA,F
LORENC,M
LORENCIN,M
LORENCO,M
LORENNA,F
LORENS,M
LORENZO,M
LORETA,F
LORI,F
LORIANA,F
LORIEN,F
LORIS,M
LORNA,F
LOTA,F
LOVORKA,F
LOVRE,M
LOVRO,M
LU,F
LUANA,F
LUCA,F
LUCAS,M
LUCE,F
LUCIA,F
LUCIAN,M
LUCIANA,F
LUCIANO,M
LUCIJA,F
LUCIJAN,M
LUCIJANA,F
LUCIO,M
LUIGI,M
LUIS,M
LUIĐI,M
LUJO,M
LUKA,M
LUKAS,M
LUKRECIA,F
LUKRECIJA,F
LUKŠA,M
LUNA,F
LUČANO,M
LUČI,M
LUČIJA,F
LYNN,F
MACIEJ,M
MAGA,F
MAGDA,F
MAGDALENA,F
MAITA,F
MAJA,F
MAJDA,F
MAK,M
MAKS,M
MAKSIM,M
MAKSIMILIJAN,M
