arena,year,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
ESEA,2060,113622,117490,121308,124207,125691,127664,130869,136639,144821,148529,142615,138671,140806,144397,156909,116760,88506,68743,35674,11140,2398
ESEA,2070,107027,109843,113275,116999,120347,122877,124358,126411,129534,134939,142325,144659,136829,129699,126147,119893,114446,68170,36281,16498,4262
ESEA,2080,101631,104152,106720,109391,112376,115758,119120,121757,123211,125001,127524,131825,137316,136564,124242,109823,94863,73535,49993,17858,5224
ESEA,2090,95575,98545,101353,103729,105870,108224,111244,114755,118124,120561,121540,122460,123535,125329,126241,118035,96185,70079,44032,20884,7437
ESEA,2100,90007,92495,95321,98147,100541,102620,104814,107322,110386,113755,116732,118447,118256,117194,114716,110175,100551,78716,47348,21473,7784
LAC,2020,51689,52197,52365,53546,54037,53312,50967,48479,44261,39864,36212,32150,26227,20888,15033,10347,6717,3616,1553,425,69
LAC,2030,48404,50049,51402,51824,51658,52531,52979,52211,49785,47098,42571,37729,33429,28532,21899,15872,9797,5249,2346,731,146
LAC,2040,44923,46524,48163,49716,50757,50911,50683,51529,51884,50913,48141,44910,39728,34029,28577,22402,14924,8554,3677,1149,245
LAC,2050,42139,43329,44728,46242,47610,48934,49918,50063,49773,50422,50407,48876,45361,41072,34645,27476,20265,12740,5987,2025,410
LAC,2060,39360,40683,41974,43081,44244,45569,46897,48215,49142,49135,48548,48676,47892,45256,40273,34014,25450,16404,8673,3268,731
LAC,2070,36682,37925,39216,40457,41536,42486,43628,44960,46250,47437,48100,47665,46446,45533,43170,38302,30518,21207,11517,4507,1170
LAC,2080,34395,35432,36554,37717,38813,39918,40991,41963,43087,44321,45395,46212,46307,44984,42391,39238,33600,24803,14550,6241,1698
LAC,2090,32321,33298,34279,35236,36178,37222,38323,39460,40530,41433,42390,43325,43924,43962,42760,39391,33752,26285,16814,7779,2381
LAC,2100,30355,31262,32213,33113,33922,34775,35730,36816,37927,39016,39958,40627,41203,41488,40950,39077,34813,27233,17655,8789,3060
E,2020,39069,40750,40249,37895,38978,45039,52382,52930,52259,52006,51517,52751,48900,43042,35048,25200,21108,11802,5303,1275,124
E,2030,34683,36765,39346,41172,41006,38910,39958,45613,52259,52231,50945,49844,48291,47677,42030,34133,24261,13310,6775,1807,276
E,2040,34136,34021,34992,37227,40167,42259,42069,39694,40284,45302,51097,50264,48011,45700,42716,39212,30127,18993,8814,2308,406
E,2050,34481,34775,34443,34480,35807,38309,41212,42991,42377,39609,39739,43935,48427,46440,42899,38615,32362,23485,11825,3671,594
E,2060,32440,33740,34788,35236,35264,35578,36896,39109,41555,42879,41860,38675,38185,41160,43740,39838,33271,24510,14032,5108,918
E,2070,31349,31778,32752,34206,35617,36346,36377,36441,37357,39143,41137,41949,40395,36679,35314,36201,34715,26280,15362,5933,1248
E,2080,31412,31577,31664,32250,33592,35332,36747,37229,36886,36585,37138,38479,39879,39976,37681,33004,29373,25197,17038,6987,1551
E,2090,30503,31239,31729,32052,32511,33392,34747,36247,37285,37409,36751,36114,36237,36970,37503,36313,31967,24196,15825,7419,1948
E,2100,29528,30064,30822,31716,32581,33202,33684,34340,35335,36480,37202,37010,36007,34949,34462,34091,32390,27380,18256,7945,2106
NAM,2020,21675,22029,23080,23238,24630,26576,25686,24275,22764,22444,23010,24311,23240,19976,16153,10957,7278,4431,2304,696,105
NAM,2030,22833,22491,21923,22788,24818,25304,26241,27563,26178,24372,22489,21716,21688,22188,20280,16205,11523,6205,2751,857,175
NAM,2040,22965,23102,23116,23323,23849,25101,26637,26467,26857,27724,25951,23744,21440,20152,19380,18652,15264,9939,4886,1378,239
NAM,2050,23038,23114,23259,23953,25084,25694,25738,26320,27302,26713,26705,27104,24891,22266,19480,17363,15136,12104,7021,2444,460
NAM,2060,23706,23479,23336,23970,25240,26345,26989,26938,26454,26620,27213,26230,25767,25623,22895,19566,15700,11824,7470,3253,748
NAM,2070,24139,24160,24008,24338,25324,26376,27166,27608,27723,27272,26442,26230,26384,24977,23951,22869,18913,13873,8244,3455,908
NAM,2080,24348,24375,24442,25020,26000,26755,27271,27666,27928,27970,27740,26942,25754,25136,24742,22598,20223,16788,10485,4363,1081
NAM,2090,24873,24764,24653,25238,26439,27447,27963,28068,28062,28063,27991,27697,27112,25957,24353,23027,21302,17130,11801,5669,1476
NAM,2100,25321,25304,25180,25628,26655,27676,28421,28781,28777,28496,28170,27856,27454,26815,25817,24045,21358,17998,13058,6215,1853
