ccode,week,group,denom,dose1,dose2,dose3,doseX,doses,cumDose1,cumDose2,cumDose3,cumDoses
LIE,2021-W42,ALL,38747,52,996,0,0,1048,23853,22154,24,46031
LIE,2021-W43,ALL,38747,233,201,2,0,436,24086,22355,26,46467
LIE,2021-W44,ALL,38747,202,201,2,0,405,24288,22556,28,46872
LIE,2021-W45,ALL,38747,266,67,1,0,334,24554,22623,29,47206
LIE,2021-W46,ALL,38747,77,40,240,0,357,24631,22663,269,47563
LIE,2021-W47,ALL,38747,96,142,514,0,752,24727,22805,783,48315
LIE,2021-W48,ALL,38747,81,179,975,0,1235,24808,22984,1758,49550
LIE,2021-W49,ALL,38747,124,177,4016,0,4317,24932,23161,5774,53867
LIE,2021-W50,ALL,38747,137,150,4751,0,5038,25069,23311,10525,58905
LIE,2021-W51,ALL,38747,95,68,1575,0,1738,25164,23379,12100,60643
LIE,2021-W52,ALL,38747,4,18,39,0,61,25168,23397,12139,60704
LIE,2022-W01,ALL,38747,76,97,1472,0,1645,25244,23494,13611,62349
LIE,2022-W01,U18,6840,148,0,0,0,148,148,0,0,148
LIE,2022-W02,ALL,38747,61,159,2011,0,2231,25305,23653,15622,64580
LIE,2022-W02,U18,6840,0,0,0,0,0,148,0,0,148
LTU,2020-W52,ALL,2794090,2422,0,0,0,2422,2422,0,0,2422
LTU,2020-W53,ALL,2794090,7328,0,0,0,7328,9750,0,0,9750
LTU,2021-W01,ALL,2794090,13816,0,0,0,13816,23566,0,0,23566
LTU,2021-W01,U18,498821,1,0,0,0,1,1,0,0,1
LTU,2021-W02,ALL,2794090,27615,989,0,0,28604,51181,989,0,52170
LTU,2021-W02,U18,498821,129,0,0,0,129,130,0,0,130
LTU,2021-W03,ALL,2794090,8108,7920,0,0,16028,59289,8909,0,68198
LTU,2021-W03,U18,498821,8,0,0,0,8,138,0,0,138
LTU,2021-W04,ALL,2794090,13002,12698,0,0,25700,72291,21607,0,93898
LTU,2021-W04,U18,498821,23,1,0,0,24,161,1,0,162
LTU,2021-W05,ALL,2794090,6811,23814,0,0,30625,79102,45421,0,124523
LTU,2021-W05,U18,498821,3,110,0,0,113,164,111,0,275
LTU,2021-W06,ALL,2794090,20379,7966,0,0,28345,99481,53387,0,152868
LTU,2021-W06,U18,498821,11,10,0,0,21,175,121,0,296
LTU,2021-W07,ALL,2794090,23253,12915,0,0,36168,122734,66302,0,189036
LTU,2021-W07,U18,498821,5,22,0,0,27,180,143,0,323
LTU,2021-W08,ALL,2794090,43446,5528,0,0,48974,166180,71830,0,238010
LTU,2021-W08,U18,498821,3,2,0,0,5,183,145,0,328
LTU,2021-W09,ALL,2794090,46050,13032,0,0,59082,212230,84862,0,297092
LTU,2021-W09,U18,498821,7,9,0,0,16,190,154,0,344
LTU,2021-W10,ALL,2794090,43785,13592,0,0,57377,256015,98454,0,354469
LTU,2021-W10,U18,498821,1,4,0,0,5,191,158,0,349
LTU,2021-W11,ALL,2794090,21548,25771,0,0,47319,277563,124225,0,401788
LTU,2021-W11,U18,498821,2,6,0,0,8,193,164,0,357
LTU,2021-W12,ALL,2794090,49323,26272,0,0,75595,326886,150497,0,477383
LTU,2021-W12,U18,498821,13,6,0,0,19,206,170,0,376
LTU,2021-W13,ALL,2794090,64938,25857,0,0,90795,391824,176354,0,568178
LTU,2021-W13,U18,498821,39,2,0,0,41,245,172,0,417
LTU,2021-W14,ALL,2794090,95850,13008,0,0,108858,487674,189362,0,677036
LTU,2021-W14,U18,498821,155,3,0,0,158,400,175,0,575
LTU,2021-W15,ALL,2794090,80301,20293,0,0,100594,567975,209655,0,777630
LTU,2021-W15,U18,498821,137,2,0,0,139,537,177,0,714
LTU,2021-W16,ALL,2794090,65863,37463,0,0,103326,633838,247118,0,880956
LTU,2021-W16,U18,498821,181,10,0,0,191,718,187,0,905
LTU,2021-W17,ALL,2794090,61563,59692,0,0,121255,695401,306810,0,1002211
LTU,2021-W17,U18,498821,139,116,0,0,255,857,303,0,1160
LTU,2021-W18,ALL,2794090,88528,78511,0,0,167039,783929,385321,0,1169250
LTU,2021-W18,U18,498821,105,113,0,0,218,962,416,0,1378
LTU,2021-W19,ALL,2794090,86444,58555,0,0,144999,870373,443876,0,1314249
LTU,2021-W19,U18,498821,120,142,0,0,262,1082,558,0,1640
LTU,2021-W20,ALL,2794090,68043,70589,0,0,138632,938416,514465,0,1452881
LTU,2021-W20,U18,498821,164,149,0,0,313,1246,707,0,1953
LTU,2021-W21,ALL,2794090,74544,61311,0,0,135855,1012960,575776,0,1588736
LTU,2021-W21,U18,498821,523,82,0,0,605,1769,789,0,2558
LTU,2021-W22,ALL,2794090,95085,88877,0,0,183962,1108045,664653,0,1772698
LTU,2021-W22,U18,498821,5524,119,0,0,5643,7293,908,0,8201
LTU,2021-W23,ALL,2794090,54846,76439,0,0,131285,1162891,741092,0,1903983
LTU,2021-W23,U18,498821,2610,145,0,0,2755,9903,1053,0,10956
LTU,2021-W24,ALL,2794090,30550,97875,0,0,128425,1193441,838967,0,2032408
LTU,2021-W24,U18,498821,6049,468,0,0,6517,15952,1521,0,17473
LTU,2021-W25,ALL,2794090,16439,98672,0,0,115111,1209880,937639,0,2147519
LTU,2021-W25,U18,498821,3072,4564,0,0,7636,19024,6085,0,25109
LTU,2021-W26,ALL,2794090,22977,82730,0,0,105707,1232857,1020369,0,2253226
LTU,2021-W26,U18,498821,2635,2970,0,0,5605,21659,9055,0,30714
LTU,2021-W27,ALL,2794090,21493,40664,0,0,62157,1254350,1061033,0,2315383
LTU,2021-W27,U18,498821,2035,5555,0,0,7590,23694,14610,0,38304
LTU,2021-W28,ALL,2794090,25214,27507,0,0,52721,1279564,1088540,0,2368104
LTU,2021-W28,U18,498821,2232,3248,0,0,5480,25926,17858,0,43784
LTU,2021-W29,ALL,2794090,44781,23493,0,0,68274,1324345,1112033,0,2436378
LTU,2021-W29,U18,498821,3000,2347,0,0,5347,28926,20205,0,49131
LTU,2021-W30,ALL,2794090,58486,29810,0,0,88296,1382831,1141843,0,2524674
