ccode,date,dayNum,caseRate,caseWeek,deathRate,deathWeek,fullVacPct,dosesPerPerson
AUT,2021-04-30,0,68435.815,,1128.488,,9.68,0.36
AUT,2021-05-07,7,69535.773,1099.96,1144.633,16.14,10.87,0.41
AUT,2021-05-14,14,70305.755,769.98,1156.134,11.50,12.13,0.45
AUT,2021-05-21,21,70804.811,499.06,1164.87,8.74,14.17,0.51
AUT,2021-05-28,28,71182.558,377.75,1170.841,5.97,16.57,0.56
AUT,2021-06-04,35,71454.369,271.81,1175.596,4.76,19.81,0.63
AUT,2021-06-11,42,71677.744,223.38,1177.918,2.32,23.76,0.7
AUT,2021-06-18,49,71801.817,124.07,1180.683,2.77,27.79,0.76
AUT,2021-06-25,56,71879.998,78.18,1183.226,2.54,32.17,0.83
AUT,2021-07-02,63,71941.15,61.15,1184.221,0.99,37.04,0.9
AUT,2021-07-09,70,72020.99,79.84,1185.659,1.44,41.31,0.96
AUT,2021-07-16,77,72210.085,189.10,1186.323,0.66,44.98,1
AUT,2021-07-23,84,72496.271,286.19,1186.544,0.22,48.21,1.05
AUT,2021-07-30,91,72820.166,323.90,1187.318,0.77,51.23,1.08
AUT,2021-08-06,98,73196.586,376.42,1188.534,1.22,53.8,1.11
AUT,2021-08-13,105,73745.957,549.37,1189.087,0.55,55.78,1.13
AUT,2021-08-20,112,74540.709,794.75,1189.972,0.88,57.13,1.15
AUT,2021-08-27,119,75551.649,1010.94,1191.63,1.66,57.94,1.16
AUT,2021-09-03,126,76679.252,1127.60,1192.626,1.00,58.49,1.17
AUT,2021-09-10,133,78061.194,1381.94,1197.823,5.20,59,1.18
AUT,2021-09-17,140,79669.276,1608.08,1203.352,5.53,59.53,1.19
AUT,2021-09-24,147,80963.305,1294.03,1211.203,7.85,60.07,1.21
AUT,2021-10-01,154,82379.528,1416.22,1217.949,6.75,60.56,1.22
AUT,2021-10-08,161,83785.134,1405.61,1225.69,7.74,61.09,1.23
AUT,2021-10-15,168,85274.451,1489.32,1233.099,7.41,61.61,1.25
AUT,2021-10-22,175,87495.267,2220.82,1242.166,9.07,62.12,1.27
AUT,2021-10-29,182,90588.132,3092.86,1253.225,11.06,62.58,1.28
AUT,2021-11-05,189,95696.462,5108.33,1266.273,13.05,63.08,1.31
AUT,2021-11-12,196,103388.318,7691.86,1287.284,21.01,63.77,1.36
AUT,2021-11-19,203,113597.901,10209.58,1321.564,34.28,64.7,1.43
AUT,2021-11-26,210,123977.118,10379.22,1358.388,36.82,65.73,1.51
AUT,2021-12-03,217,131148.132,7171.01,1403.616,45.23,66.98,1.6
AUT,2021-12-10,224,135030.994,3882.86,1445.969,42.35,68.37,1.67
AUT,2021-12-17,231,137700.109,2669.11,1485.999,40.03,69.83,1.75
AUT,2021-12-24,238,139416.229,1716.12,1505.794,19.80,70.91,1.79
AUT,2021-12-31,245,141392.107,1975.88,1518.621,12.83,71.66,1.82
BEL,2021-04-30,0,85127.284,,2082.987,,7.54,0.34
BEL,2021-05-07,7,86911.793,1784.51,2104.737,21.75,9.74,0.4
BEL,2021-05-14,14,88383.294,1471.50,2120.297,15.56,11.84,0.45
BEL,2021-05-21,21,89802.442,1419.15,2132.762,12.47,14.71,0.52
BEL,2021-05-28,28,90945.033,1142.59,2141.445,8.68,18.2,0.57
BEL,2021-06-04,35,91847.947,902.91,2150.385,8.94,21.88,0.65
BEL,2021-06-11,42,92413.784,565.84,2155.629,5.24,26.67,0.74
BEL,2021-06-18,49,92694.295,280.51,2159.24,3.61,30.53,0.83
BEL,2021-06-25,56,93057.507,363.21,2162.937,3.70,33.18,0.91
BEL,2021-07-02,63,93404.127,346.62,2165.086,2.15,35.94,0.97
BEL,2021-07-09,70,94022.403,618.28,2166.203,1.12,41.32,1.04
BEL,2021-07-16,77,94857.404,835.00,2167.149,0.95,47.26,1.12
BEL,2021-07-23,84,95609.445,752.04,2167.837,0.69,53.24,1.19
BEL,2021-07-30,91,96688.678,1079.23,2169.9,2.06,58.91,1.26
BEL,2021-08-06,98,97721.231,1032.55,2172.221,2.32,63.28,1.31
BEL,2021-08-13,105,98851.099,1129.87,2173.854,1.63,66.15,1.35
BEL,2021-08-20,112,100042.347,1191.25,2176.691,2.84,67.94,1.37
BEL,2021-08-27,119,101261.621,1219.27,2180.13,3.44,69.61,1.39
BEL,2021-09-03,126,102473.674,1212.05,2183.311,3.18,70.74,1.41
BEL,2021-09-10,133,103634.92,1161.25,2188.211,4.90,71.32,1.41
BEL,2021-09-17,140,104864.08,1229.16,2191.907,3.70,71.8,1.42
BEL,2021-09-24,147,106059.798,1195.72,2196.808,4.90,72.25,1.43
BEL,2021-10-01,154,107218.121,1158.32,2201.794,4.99,72.75,1.45
BEL,2021-10-08,161,108413.496,1195.38,2207.21,5.42,73.04,1.47
BEL,2021-10-15,168,110026.844,1613.35,2213.399,6.19,73.36,1.48
BEL,2021-10-22,175,112820.007,2793.16,2221.91,8.51,73.62,1.5
BEL,2021-10-29,182,116971.366,4151.36,2234.633,12.72,73.9,1.51
BEL,2021-11-05,189,120659.19,3687.82,2244.176,9.54,74.11,1.52
BEL,2021-11-12,196,127636.638,6977.45,2262.745,18.57,74.32,1.54
BEL,2021-11-19,203,135957.238,8320.60,2283.978,21.23,74.57,1.56
BEL,2021-11-26,210,146284.744,10327.51,2307.362,23.38,74.8,1.61
BEL,2021-12-03,217,157102.349,10817.60,2335.473,28.11,75.01,1.66
BEL,2021-12-10,224,165897.231,8794.88,2364.444,28.97,75.22,1.71
BEL,2021-12-17,231,171088.622,5191.39,2386.709,22.26,75.43,1.77
BEL,2021-12-24,238,175210.839,4122.22,2419.893,33.18,75.61,1.83
BEL,2021-12-31,245,180990.591,5779.75,2435.539,15.65,75.67,1.86
BGR,2021-04-30,0,58634.222,,2377.819,,3.09,0.12
BGR,2021-05-07,7,59375.886,741.66,2448.433,70.61,4.12,0.13
BGR,2021-05-14,14,60005.611,629.72,2500.198,51.76,5.94,0.16
BGR,2021-05-21,21,60379.561,373.95,2533.692,33.49,7.17,0.18
BGR,2021-05-28,28,60624.462,244.90,2559.502,25.81,7.89,0.19
BGR,2021-06-04,35,60802.954,178.49,2582.411,22.91,8.93,0.21
BGR,2021-06-11,42,60929.973,127.02,2594.446,12.03,10.07,0.23
BGR,2021-06-18,49,61038.866,108.89,2608.076,13.63,10.81,0.24
BGR,2021-06-25,56,61114.7,75.83,2613.731,5.66,11.36,0.25
BGR,2021-07-02,63,61186.619,71.92,2621.996,8.26,11.87,0.26
BGR,2021-07-09,70,61249.113,62.49,2629.971,7.97,12.28,0.27
BGR,2021-07-16,77,61315.667,66.55,2634.466,4.49,12.36,0.27
BGR,2021-07-23,84,61417.455,101.79,2637.945,3.48,12.36,0.27
BGR,2021-07-30,91,61605.517,188.06,2640.555,2.61,14.47,0.29
BGR,2021-08-06,98,61983.817,378.30,2646.355,5.80,15,0.3
BGR,2021-08-13,105,62688.216,704.40,2658.1,11.74,15.51,0.31
BGR,2021-08-20,112,63808.614,1120.40,2676.515,18.41,16.09,0.32
BGR,2021-08-27,119,65269.903,1461.29,2710.009,33.49,16.71,0.33
BGR,2021-09-03,126,66799.195,1529.29,2762.354,52.34,17.34,0.34
BGR,2021-09-10,133,68138.25,1339.05,2821.513,59.16,17.88,0.35
BGR,2021-09-17,140,69711.621,1573.37,2893.432,71.92,18.45,0.36
BGR,2021-09-24,147,71241.348,1529.73,2961.291,67.86,18.94,0.36
BGR,2021-10-01,154,73115.59,1874.24,3040.459,79.17,19.36,0.37
BGR,2021-10-08,161,75253.148,2137.56,3129.923,89.46,19.71,0.37
BGR,2021-10-15,168,77972.872,2719.72,3217.212,87.29,20.05,0.38
BGR,2021-10-22,175,81883.029,3910.16,3331.325,114.11,20.74,0.39
BGR,2021-10-29,182,86737.556,4854.53,3461.388,130.06,21.81,0.41
BGR,2021-11-05,189,91157.235,4419.68,3616.246,154.86,22.61,0.43
BGR,2021-11-12,196,94713.887,3556.65,3788.068,171.82,23.42,0.44
BGR,2021-11-19,203,97308.043,2594.16,3932.921,144.85,24.46,0.46
BGR,2021-11-26,210,99672.957,2364.91,4059.359,126.44,25.36,0.48
BGR,2021-12-03,217,101711.482,2038.53,4171.443,112.08,26.07,0.49
BGR,2021-12-10,224,103395.487,1684.00,4271.491,100.05,26.62,0.51
BGR,2021-12-17,231,104896.214,1500.73,4351.965,80.47,27.1,0.52
BGR,2021-12-24,238,106303.563,1407.35,4418.954,66.99,27.51,0.53
BGR,2021-12-31,245,108329.038,2025.48,4488.408,69.45,27.77,0.54
HRV,2021-04-30,0,81384.35,,1734.835,,4.87,0.22
HRV,2021-05-07,7,83908.814,2524.46,1810.049,75.21,5.96,0.26
HRV,2021-05-14,14,85525.07,1616.26,1877.669,67.62,7.37,0.32
HRV,2021-05-21,21,86537.649,1012.58,1924.709,47.04,9.6,0.38
HRV,2021-05-28,28,87125.645,588.00,1958.028,33.32,11.46,0.42
HRV,2021-06-04,35,87512.743,387.10,1976.403,18.38,13.62,0.46
HRV,2021-06-11,42,87802.331,289.59,1990.123,13.72,16.79,0.51
HRV,2021-06-18,49,87962.07,159.74,2001.148,11.02,21.45,0.57
HRV,2021-06-25,56,88082.12,120.05,2008.008,6.86,25.24,0.61
HRV,2021-07-02,63,88215.889,133.77,2011.928,3.92,27.74,0.65
HRV,2021-07-09,70,88366.073,150.18,2015.358,3.43,30.59,0.68
HRV,2021-07-16,77,88529.977,163.90,2017.318,1.96,32.39,0.71
HRV,2021-07-23,84,88764.196,234.22,2020.013,2.69,33.81,0.73
HRV,2021-07-30,91,89031.734,267.54,2022.218,2.21,34.92,0.75
HRV,2021-08-06,98,89326.222,294.49,2026.138,3.92,37.07,0.76
HRV,2021-08-13,105,89756.93,430.71,2028.588,2.45,37.89,0.78
