country,w,offset,r
Bosnia and Herzegovina,3,17,0.7350
Bosnia and Herzegovina,3,18,0.7641
Bosnia and Herzegovina,3,19,0.7933
Bosnia and Herzegovina,3,2,0.3405
Bosnia and Herzegovina,3,20,0.8212
Bosnia and Herzegovina,3,21,0.8373
Bosnia and Herzegovina,3,22,0.8575
Bosnia and Herzegovina,3,23,0.8729
Bosnia and Herzegovina,3,24,0.8741
Bosnia and Herzegovina,3,25,0.8879
Bosnia and Herzegovina,3,26,0.8928
Bosnia and Herzegovina,3,27,0.8910
Bosnia and Herzegovina,3,3,0.3804
Bosnia and Herzegovina,3,4,0.4214
Bosnia and Herzegovina,3,5,0.4562
Bosnia and Herzegovina,3,6,0.4936
Bosnia and Herzegovina,3,7,0.5320
Bosnia and Herzegovina,3,8,0.5725
Bosnia and Herzegovina,3,9,0.6005
Bosnia and Herzegovina,7,0,0.1824
Bosnia and Herzegovina,7,1,0.2228
Bosnia and Herzegovina,7,10,0.6268
Bosnia and Herzegovina,7,11,0.6487
Bosnia and Herzegovina,7,12,0.6683
Bosnia and Herzegovina,7,13,0.6858
Bosnia and Herzegovina,7,14,0.7082
Bosnia and Herzegovina,7,15,0.7285
Bosnia and Herzegovina,7,16,0.7445
Bosnia and Herzegovina,7,17,0.7720
Bosnia and Herzegovina,7,18,0.7937
Bosnia and Herzegovina,7,19,0.8148
Bosnia and Herzegovina,7,2,0.2713
Bosnia and Herzegovina,7,20,0.8333
Bosnia and Herzegovina,7,21,0.8480
Bosnia and Herzegovina,7,22,0.8649
Bosnia and Herzegovina,7,23,0.8781
Bosnia and Herzegovina,7,24,0.8895
Bosnia and Herzegovina,7,25,0.9004
Bosnia and Herzegovina,7,26,0.9075
Bosnia and Herzegovina,7,27,0.9115
Bosnia and Herzegovina,7,3,0.3236
Bosnia and Herzegovina,7,4,0.3771
Bosnia and Herzegovina,7,5,0.4245
Bosnia and Herzegovina,7,6,0.4735
Bosnia and Herzegovina,7,7,0.5200
Bosnia and Herzegovina,7,8,0.5635
Bosnia and Herzegovina,7,9,0.5953
Bulgaria,0,0,0.2881
Bulgaria,0,1,0.1029
Bulgaria,0,10,0.3328
Bulgaria,0,11,0.3946
Bulgaria,0,12,0.4818
Bulgaria,0,13,0.5595
Bulgaria,0,14,0.4912
Bulgaria,0,15,0.3499
Bulgaria,0,16,0.2606
Bulgaria,0,17,0.3868
Bulgaria,0,18,0.4866
Bulgaria,0,19,0.5367
Bulgaria,0,2,0.1537
Bulgaria,0,20,0.6536
Bulgaria,0,21,0.5260
Bulgaria,0,22,0.4252
Bulgaria,0,23,0.4521
Bulgaria,0,24,0.4943
Bulgaria,0,25,0.6083
Bulgaria,0,26,0.5535
Bulgaria,0,27,0.6161
Bulgaria,0,3,0.2590
Bulgaria,0,4,0.3671
Bulgaria,0,5,0.4050
Bulgaria,0,6,0.4576
Bulgaria,0,7,0.3573
Bulgaria,0,8,0.2669
Bulgaria,0,9,0.2257
Bulgaria,1,0,0.3985
Bulgaria,1,1,0.3555
Bulgaria,1,10,0.5294
Bulgaria,1,11,0.6096
Bulgaria,1,12,0.6897
Bulgaria,1,13,0.7113
Bulgaria,1,14,0.6483
Bulgaria,1,15,0.5557
Bulgaria,1,16,0.4896
Bulgaria,1,17,0.5232
Bulgaria,1,18,0.6242
Bulgaria,1,19,0.7305
Bulgaria,1,2,0.4080
Bulgaria,1,20,0.7747
Bulgaria,1,21,0.6996
Bulgaria,1,22,0.5905
Bulgaria,1,23,0.5155
Bulgaria,1,24,0.5130
Bulgaria,1,25,0.6130
Bulgaria,1,26,0.7178
Bulgaria,1,27,0.8034
Bulgaria,1,3,0.4948
Bulgaria,1,4,0.5973
Bulgaria,1,5,0.6210
Bulgaria,1,6,0.5908
Bulgaria,1,7,0.5094
Bulgaria,1,8,0.4628
Bulgaria,1,9,0.4551
Bulgaria,15,0,0.7606
Bulgaria,15,1,0.7732
Bulgaria,15,10,0.8681
Bulgaria,15,11,0.8790
Bulgaria,15,12,0.8888
Bulgaria,15,13,0.8963
Bulgaria,15,14,0.9023
Bulgaria,15,15,0.9090
Bulgaria,15,16,0.9162
Bulgaria,15,17,0.9238
Bulgaria,15,18,0.9312
Bulgaria,15,19,0.9368
Bulgaria,15,2,0.7881
Bulgaria,15,20,0.9411
Bulgaria,15,21,0.9402
Bulgaria,15,22,0.9402
Bulgaria,15,23,0.9402
Bulgaria,15,24,0.9404
Bulgaria,15,25,0.9418
Bulgaria,15,26,0.9429
Bulgaria,15,27,0.9433
Bulgaria,15,3,0.8035
Bulgaria,15,4,0.8167
Bulgaria,15,5,0.8283
Bulgaria,15,6,0.8350
Bulgaria,15,7,0.8430
Bulgaria,15,8,0.8493
Bulgaria,15,9,0.8584
Bulgaria,3,0,0.6348
Bulgaria,3,1,0.6401
Bulgaria,3,10,0.8227
Bulgaria,3,11,0.8311
Bulgaria,3,12,0.8378
Bulgaria,3,13,0.8411
Bulgaria,3,14,0.8421
Bulgaria,3,15,0.8415
Bulgaria,3,16,0.8415
Bulgaria,3,17,0.8471
Bulgaria,3,18,0.8540
Bulgaria,3,19,0.8632
Bulgaria,3,2,0.6639
Bulgaria,3,20,0.8707
Bulgaria,3,21,0.8671
Bulgaria,3,22,0.8700
Bulgaria,3,23,0.8733
Bulgaria,3,24,0.8733
Bulgaria,3,25,0.8782
Bulgaria,3,26,0.8825
Bulgaria,3,27,0.8897
Bulgaria,3,3,0.6897
Bulgaria,3,4,0.7235
Bulgaria,3,5,0.7561
Bulgaria,3,6,0.7772
Bulgaria,3,7,0.7923
Bulgaria,3,8,0.8074
Bulgaria,3,9,0.8119
Bulgaria,7,0,0.7247
Bulgaria,7,1,0.7428
Bulgaria,7,10,0.8903
Bulgaria,7,11,0.9023
Bulgaria,7,12,0.9111
Bulgaria,7,13,0.9181
Bulgaria,7,14,0.9209
Bulgaria,7,15,0.9208
Bulgaria,7,16,0.9222
Bulgaria,7,17,0.9230
Bulgaria,7,18,0.9242
Bulgaria,7,19,0.9251
Bulgaria,7,2,0.7630
Bulgaria,7,20,0.9264
Bulgaria,7,21,0.9236
Bulgaria,7,22,0.9221
Bulgaria,7,23,0.9213
Bulgaria,7,24,0.9206
Bulgaria,7,25,0.9213
Bulgaria,7,26,0.9220
Bulgaria,7,27,0.9237
Bulgaria,7,3,0.7857
Bulgaria,7,4,0.8074
Bulgaria,7,5,0.8232
Bulgaria,7,6,0.8369
Bulgaria,7,7,0.8493
Bulgaria,7,8,0.8612
Bulgaria,7,9,0.8743
Croatia,0,0,0.0344
Croatia,0,1,0.0444
Croatia,0,10,0.3022
Croatia,0,11,0.3909
Croatia,0,12,0.4097
Croatia,0,13,0.4416
Croatia,0,14,0.4521
Croatia,0,15,0.4567
Croatia,0,16,0.4578
Croatia,0,17,0.5158
Croatia,0,18,0.6222
Croatia,0,19,0.6007
Croatia,0,2,0.1312
Croatia,0,20,0.5026
Croatia,0,21,0.5444
Croatia,0,22,0.5721
Croatia,0,23,0.4978
Croatia,0,24,0.4806
Croatia,0,25,0.3679
Croatia,0,26,0.5312
Croatia,0,27,0.4920
Croatia,0,3,0.1675
Croatia,0,4,0.2412
Croatia,0,5,0.3177
Croatia,0,6,0.2560
Croatia,0,7,0.2905
Croatia,0,8,0.2558
Croatia,0,9,0.4191
Croatia,1,0,-0.0197
Croatia,1,1,0.0577
Croatia,1,10,0.4507
Croatia,1,11,0.5071
Croatia,1,12,0.5560
Croatia,1,13,0.6309
Croatia,1,14,0.6700
Croatia,1,15,0.6757
Croatia,1,16,0.6837
Croatia,1,17,0.7214
Croatia,1,18,0.7963
Croatia,1,19,0.8288
Croatia,1,2,0.1520
Croatia,1,20,0.8022
Croatia,1,21,0.7537
Croatia,1,22,0.7369
Croatia,1,23,0.7742
Croatia,1,24,0.7872
Croatia,1,25,0.7724
Croatia,1,26,0.7434
Croatia,1,27,0.7392
Croatia,1,3,0.2387
Croatia,1,4,0.3108
Croatia,1,5,0.3475
Croatia,1,6,0.3345
Croatia,1,7,0.3391
Croatia,1,8,0.3554
Croatia,1,9,0.4193
Croatia,15,0,0.1017
Croatia,15,1,0.1691
Croatia,15,10,0.7371
Croatia,15,11,0.7877
Croatia,15,12,0.8338
Croatia,15,13,0.8748
Croatia,15,14,0.9098
Croatia,15,15,0.9387
Croatia,15,16,0.9610
Croatia,15,17,0.9767
Croatia,15,18,0.9868
Croatia,15,19,0.9898
Croatia,15,2,0.2373
Croatia,15,20,0.9860
Croatia,15,21,0.9763
Croatia,15,22,0.9613
Croatia,15,23,0.9417
Croatia,15,24,0.9174
Croatia,15,25,0.8887
Croatia,15,26,0.8587
Croatia,15,27,0.8271
